1  	9694
2	9694
3	9692
4	9819
5	9844
6	9810
7	9810
8	9810
9	9810
10 	9868
11	9708
12	9766
13	9729
14	9729
15	9729
16	9853
17	9879
18	9890
19	9886
20	9859
21	9859
22	9859
23	9761
24	9598
25	9646
26	9626
27	9743
28	9743
29	9743
30	9585
31	9547
32	9629
33	9728
34	9688
35	9688
36	9688
37	9777
38	9688
39	9595
40	9592
41	9642
42	9642
43	9642
44	9614
45	9633
46	9697
47	9666
48	9685
49	9685
50	9685
51	9607
52	9536
53	9517
54	9529
55	9519
56	9519
57	9519
58	9547
59	9627
60	9641
61	9520
62	9549
63	9549
64	9549
65	9486
66	9511
67	9470
68	9494
69	9568
70	9568
71	9568
72	9773
73	9754
74	9754
75	9728
76	9693
77	9693
78	9693
79	9693
80	9772
81	9803
82	9845
83	9894
84	9894
85	9894
86	9930
87	9901
88	9819
89	9819
90	9819
91	9819
92	9819
93	9791
94	9776
95	9801
96	9751
97	9767
98	9767
99	9767
100	9797
101	9841
102	9680
103	9694
104	9668
105	9668
106	9668
107	9602
108	9637
109	9619
110	9548
111	9618
112	9618
113	9618
114	9640
115	9559
116	9641
117	9668
118	9650
119	9650
120	9650
121	9722
122	9717
123	9712
124	9693
125	9715
126	9715
127	9715
128	9674
129	9902
130	9904
131	9815
132	9924
133	9924
134	9924
135	9924
136	9922
137	9938
138	9863
139	9957
140	9957
141	9957
142	9917
143	10049
144	10091
145	10048
146	10025
147	10025
148	10025
149	9956
150	9945
151	10021
152	10057
153	9963
154	9963
155	9963
156	9963
157	9934
158	9863
159	9890
160	9880
161	9880
162	9880
163	9880
164	9872
165	9856
166	9856
167	9950
168	9950
169	9950
170	9891
171	9969
172	9971
173	10026
174	9909
175	9909
176	9909
177	9917
178	9883
179	9762
180	9743
181	9744
182	9744
183	9744
184	9744
185	9760
186	9784
187	9738
188	9715
189	9715
190	9715
191	9700
192	9750
193	9782
194	9771
195	9746
196	9746
197	9746
198	9761
199	9786
200	9786
201	9700
202	9718
203	9718
204	9718
205	9682
206	9695
207	9716
208	9738
209	9747
210	9747
211	9747
212	9662
213	9661
214	9658
215	9512
216	9463
217	9463
218	9463
219	9489
220	9459
221	9457
222	9494
223	9475
224	9475
225	9475
226	9475
227	9505
228	9467
229	9491
230	9486
231	9486
232	9486
233	9566
234	9578
235	9587
236	9637
237	9659
238	9659
239	9659
240	9664
